3422, xzbot, https://github.com/amlweems/xzbot, "notes, honeypot, and exploit demo for the xz backdoor (CVE-2024-3094)", "", 2024-04-01 14:28:09 +0000 UTC
2325, redka, https://github.com/nalgeon/redka, "Redis re-implemented with SQLite", "database,key-value,redis,sqlite", 2024-04-06 19:10:02 +0000 UTC
1873, otel-profiling-agent, https://github.com/elastic/otel-profiling-agent, "The production-scale datacenter profiler (C/C++, Go, Rust, Python, Java, NodeJS, PHP, Ruby, Perl, ...)", "ebpf,profiler", 2024-04-15 14:22:53 +0000 UTC
1845, aurora, https://github.com/aurora-develop/aurora, "free", "chatgpt,free,gpt", 2024-04-02 00:57:58 +0000 UTC
966, bitalostored, https://github.com/zuoyebang/bitalostored, "Bitalostored is a high-performance distributed storage system, core engine based on bitalosdb(self-developed), compatible with Redis protocol.", "bitalosdb,database,distributed-storage,high-performance,kvstore,nosql,redis,storage-engine", 2024-02-26 09:24:45 +0000 UTC
689, alloy, https://github.com/grafana/alloy, "OpenTelemetry Collector distribution with programmable pipelines", "collector,grafana,loki,monitoring,observability,opentelemetry,opentelemetry-collector,prometheus", 2024-02-28 14:00:15 +0000 UTC
637, aiwechat-vercel, https://github.com/pwh-pwh/aiwechat-vercel, "使用vercel的functions，将ai功能加入微信公众号", "ai,bot,gpt,vercel-serverless,wechat", 2024-02-27 15:33:15 +0000 UTC
604, reverst, https://github.com/flipt-io/reverst, "Reverse Tunnels in Go over HTTP/3 and QUIC", "", 2024-04-03 13:32:11 +0000 UTC
493, rHttp, https://github.com/1buran/rHttp, "REPL for HTTP", "http-cli,repl,tui", 2024-03-08 18:26:32 +0000 UTC
444, zkp-hmac-communication-go, https://github.com/zk-Call/zkp-hmac-communication-go, "\"Zero-Knowledge\" Proof Implementation with HMAC Communication in Go", "go,hmac,zero-knowledge,zk-call,zkproof", 2024-04-03 09:33:59 +0000 UTC
328, superfile, https://github.com/MHNightCat/superfile, "Pretty fancy and modern terminal file manager", "bubbletea,cli,file-manager,filemanager,filesystem,golang,linux-app,terminal-app,terminal-based,terminal-file-manager,tui", 2024-03-19 15:49:52 +0000 UTC
327, omni, https://github.com/siderolabs/omni, "SaaS-simple deployment of Kubernetes - on your own hardware.", "", 2024-02-29 13:12:09 +0000 UTC
303, lc, https://github.com/wgpsec/lc, "LC（List Cloud）是一个多云攻击面资产梳理工具", "cloud,cloudsecurity,cybersecurity", 2024-04-06 13:04:37 +0000 UTC
300, amprobe, https://github.com/amuluze/amprobe, "轻量级主机及容器监控服务", "", 2024-03-14 09:20:19 +0000 UTC
